start_node_id,end_node_id,properties.Rating,properties.DateRated,properties.Recommended
Taylor Stewart,Customizable stable approach,4,2005-8-7,False
Michael Hawkins,Implemented 24/7 strategy,1,2002-12-21,False
Deborah Bradley,Multi-layered system-worthy utilization,4,1991-3-17,False
Benjamin Lee,User-friendly 5thgeneration approach,5,1993-4-14,True
Anna Jensen,Stand-alone uniform capability,4,1996-1-28,False
Annette Kelly,Focused client-driven orchestration,3,2013-3-6,False
Kelly Arnold,Virtual encompassing task-force,4,2005-10-7,False
Tamara Smith,Persistent impactful attitude,2,2013-10-19,False
Amber Cooper,Ergonomic heuristic artificial intelligence,5,2004-2-16,False
Victor King,Public-key 4thgeneration knowledge user,2,1990-3-8,False
Susan Clark,Profound regional installation,5,2011-7-24,False
Richard Howard,Managed zero tolerance artificial intelligence,4,2000-3-18,True
Deanna Jenkins,Devolved transitional access,1,1995-8-5,False
Lauren Flores,Optional hybrid website,2,1994-7-6,True
Kristi Long,Open-architected explicit toolset,1,1997-5-24,True
Peggy Fields,Extended zero-defect adapter,3,1993-6-22,False
Jane Smith,Automated dedicated moratorium,5,2007-11-11,True
William Brown,Persistent asymmetric protocol,5,2001-8-24,True
Brenda Cole,Synergistic transitional task-force,5,2006-9-14,False
Linda James,Function-based needs-based open architecture,5,2008-12-2,True
Ashley Ross,Balanced high-level solution,4,2011-6-12,True
Kaitlyn Marshall,Team-oriented maximized website,4,2017-10-9,True
Rebecca Freeman,Versatile 24/7 framework,1,2016-8-20,True
Katherine Owens,Digitized mobile neural-net,3,1998-10-20,True
Breanna White,Extended coherent neural-net,3,1996-9-17,True
Laura Schultz,Profound well-modulated secured line,3,2013-1-13,True
Andrew Bright,Adaptive foreground conglomeration,4,1992-3-6,True
Cynthia Cooper,Fully-configurable background Graphical User Interface,1,1998-10-26,True
Kimberly Hale,Face-to-face 24/7 structure,1,2001-3-15,True
Margaret Newman,Persistent impactful attitude,3,2020-4-18,True
Samuel Craig,Multi-layered optimal model,4,1996-8-25,False
Jessica Jones,Reduced radical analyzer,5,2005-6-23,True
Theodore Lee,Focused asynchronous software,3,2013-1-9,True
Jack Estrada,Multi-lateral bifurcated Local Area Network,3,2003-8-6,True
Steven Lawrence,Optional hybrid website,1,2005-12-23,False
Patrick Thompson,Open-architected context-sensitive approach,2,1991-2-21,True
James Heath,Assimilated tangible process improvement,5,2017-2-16,True
Andrew Hill,Managed motivating firmware,1,1992-8-26,False
Robert Davis,Centralized logistical emulation,5,2010-3-10,False
Shirley David,Realigned leadingedge hierarchy,5,2020-8-8,True
Jamie Franklin,Reduced mobile help-desk,5,2013-5-21,True
Anne Neal,Enhanced 3rdgeneration attitude,4,2007-10-23,True
Amanda Goodman,Advanced next generation contingency,2,2007-3-4,False
Michael Avery,Innovative solution-oriented concept,3,2020-7-25,False
Gavin Brown,Persistent local interface,5,2004-10-12,True
Jeremy Perez,Ameliorated mission-critical Internet solution,2,1995-6-25,False
Kimberly Robertson,Secured non-volatile extranet,2,1999-3-6,False
Natalie Diaz,Right-sized needs-based middleware,4,2001-11-9,False
Heather Morris,Implemented zero tolerance knowledgebase,1,1997-4-10,True
Monica Hernandez,Digitized actuating success,4,1991-10-11,True
Suzanne Green,Organized zero tolerance Internet solution,2,2001-5-6,False
Juan Brown,Sharable contextually-based installation,2,1991-4-26,True
Joshua Hull,Organic heuristic projection,4,2006-8-3,False
Paul Simmons,Operative system-worthy hub,4,2003-9-6,True
Brittany Hodge,Exclusive coherent complexity,5,2004-6-6,False
Shawn Neal,Versatile cohesive portal,2,1992-11-10,True
Angela Mullins,Ergonomic client-server policy,5,1992-11-28,True
Robin Rogers,Triple-buffered bi-directional extranet,5,2002-1-20,False
Michael Rasmussen II,Persevering well-modulated help-desk,2,2006-6-14,False
Christine Callahan DDS,Centralized scalable task-force,4,2006-3-17,True
Cynthia Robinson,Streamlined multi-tasking framework,2,2014-3-25,False
Brendan Turner MD,Intuitive actuating matrix,4,1990-7-23,True
Dorothy Landry,Polarized responsive ability,2,1991-1-14,True
Emily Nichols,Profound leadingedge capacity,3,2008-11-10,True
Daniel Franklin,Profit-focused asymmetric instruction set,1,1997-2-2,True
Jesus Harris,Reactive 5thgeneration throughput,2,2010-5-25,True
Pam Gardner,Synergistic motivating solution,5,2017-1-22,False
Eric Ramsey,User-friendly system-worthy neural-net,2,1997-6-18,True
Matthew Shaw DDS,Customizable 6thgeneration archive,1,1998-12-25,True
Ronald Lee,Realigned local attitude,3,2014-11-5,True
Christopher Haney,Vision-oriented radical encoding,2,2017-11-10,False
Jacqueline Scott,Customer-focused value-added algorithm,3,2010-6-22,False
Amanda Hester,Open-architected foreground orchestration,1,2005-3-23,False
Julian Ruiz,User-friendly 24hour definition,1,1991-4-21,True
Nicolas Jenkins,Configurable didactic time-frame,5,2003-2-28,False
John Patel,Quality-focused client-server structure,5,2020-5-7,False
Daniel Franklin,Total local capacity,2,2002-7-22,True
Kari Larson,Integrated high-level Graphic Interface,2,2000-4-11,False
Brittney Johnson,Open-architected maximized monitoring,1,2010-7-18,True
Jose Hanna,Multi-lateral disintermediate extranet,3,2007-2-1,True
Alyssa Andrews,Vision-oriented impactful algorithm,5,2005-1-18,True
Jonathan Morton,Fully-configurable non-volatile circuit,5,2003-10-18,False
Lauren Norman,Cloned analyzing groupware,4,2018-4-15,True
Jeremiah Armstrong,Face-to-face holistic database,2,2014-3-5,False
Kristen Benjamin,Adaptive scalable forecast,2,1998-11-19,True
Sandra Johnson,Centralized web-enabled projection,5,1995-2-1,False
Richard Smith,Versatile cohesive portal,4,2009-10-25,False
Samantha Hernandez,Universal neutral Local Area Network,4,2012-7-26,True
Christopher Christian,Configurable didactic time-frame,1,2004-10-17,True
Matthew Smith,Automated dedicated moratorium,4,2000-4-19,False
Kari Haas,Customizable dynamic utilization,2,1999-2-13,True
Mark Patton,Multi-lateral dedicated portal,2,1990-12-25,True
Bethany Conway,Open-source value-added ability,3,2000-6-5,True
Kathleen Robertson,Public-key optimal process improvement,2,1999-11-22,False
Timothy Hayes,Switchable next generation info-mediaries,5,2005-11-2,False
Logan Roberts,De-engineered modular system engine,3,1996-1-21,True
Sarah Joyce,Profound client-driven flexibility,2,1993-12-22,True
Tina Combs,Reactive global implementation,2,2017-6-22,False
Joseph Ramirez,Operative radical benchmark,3,2010-2-19,False
Robin Martin,Re-contextualized impactful flexibility,2,2003-11-19,True
Trevor Sanchez,Up-sized regional intranet,5,2009-10-23,True
Michelle Glass,Focused fault-tolerant conglomeration,4,2018-12-11,False
Kelly Scott,Ameliorated explicit intranet,5,2016-7-6,True
Miguel Jacobs,Re-contextualized mission-critical success,5,1993-7-15,True
Vanessa Weaver,Versatile 3rdgeneration flexibility,5,2002-6-16,True
Janice Lopez,Advanced leadingedge encryption,2,2008-5-5,True
Regina Frye,Mandatory zero tolerance encoding,4,2010-6-24,False
Melissa Hall,Devolved well-modulated approach,1,2010-5-13,True
Joseph Peters,Pre-emptive non-volatile alliance,4,2014-1-23,True
Mark Larson,User-friendly human-resource emulation,1,1995-10-4,False
Carol Sanders,Digitized mobile neural-net,1,1999-8-9,False
Daniel Sparks,Polarized responsive ability,1,2001-10-19,False
Stephanie Vargas MD,Configurable exuding utilization,5,2011-4-26,True
Sally Roberts,Networked object-oriented orchestration,5,2011-4-6,False
Shawn Harris,Multi-layered motivating array,2,1997-9-12,False
Kaitlyn Rogers,Phased tangible intranet,5,2016-5-28,True
Heather Craig,Enterprise-wide bi-directional definition,5,1996-12-21,False
Jeffrey Reynolds,Robust radical encryption,4,1996-6-22,False
Scott Johnson,Virtual clear-thinking approach,4,1992-3-8,True
Andrew Kim,Fundamental human-resource synergy,3,1990-1-23,False
Taylor Arnold,Fully-configurable mission-critical Graphic Interface,4,2015-3-4,False
Robert Wolfe,Synergistic actuating extranet,3,2002-6-5,False
Joel Johnson,Front-line analyzing hierarchy,3,2001-5-1,True
Bethany Gibson,Automated dedicated moratorium,2,2002-6-16,False
Jose Henry,Front-line national data-warehouse,5,2005-1-25,False
Tina Cameron,Innovative 24/7 migration,5,1995-5-27,False
Nancy Park,Grass-roots fault-tolerant frame,3,2002-7-11,True
Eric Howard,Open-architected 24/7 software,5,2005-4-9,False
James Burgess,Open-architected context-sensitive approach,5,2001-2-19,True
Brittney Palmer,Profound motivating artificial intelligence,5,2002-1-17,True
Jose Henry,Up-sized directional analyzer,4,2003-9-21,True
Charles Pearson,Optional 5thgeneration strategy,2,2007-5-26,True
Samantha Hernandez,Automated well-modulated architecture,3,2018-4-19,True
Eric Ramsey,Polarized web-enabled matrix,3,2011-2-15,True
Valerie Garcia,Compatible systemic throughput,3,1991-11-3,False
Corey Conner,Multi-channeled solution-oriented service-desk,1,2016-2-6,True
Sandra Krause,Balanced eco-centric conglomeration,5,2013-5-8,True
William Perry,Persistent homogeneous artificial intelligence,2,2006-8-2,True
    
